,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Cluster_Neighborhood,TotalSF,TotalBath,TotalPorchSF
21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637.0,GasA,Ex,Y,FuseF,0,3,1,Gd,6,Typ,Yes,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,No,Unavailable,GdPrv,Unavailable,0,6,2007,WD,Normal,2,1745.0,1.0,205
22,23,20,RL,75.0,9742,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,Gd,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,9,2008,WD,Normal,4,3572.0,2.0,330
23,24,120,RM,44.0,4224,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200.0,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,Yes,TA,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,6,2007,WD,Normal,3,2100.0,2.0,210
24,25,20,RL,72.0,8246,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,668.0,204.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,Yes,TA,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,5,2010,WD,Normal,3,2120.0,2.0,496
25,26,20,RL,110.0,14230,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,7,2009,WD,Normal,5,3166.0,2.0,56
26,27,20,RL,60.0,7200,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,No,Unavailable,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2010,WD,Normal,5,1800.0,2.0,254
27,28,20,RL,98.0,11478,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2010,WD,Normal,5,3408.0,3.0,50
28,29,20,RL,47.0,16321,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207.0,GasA,TA,Y,SBrkr,0,2,1,TA,6,Typ,Yes,Gd,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,12,2006,WD,Normal,5,3084.0,2.0,546
29,30,30,RM,60.0,6324,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,GasA,Fa,N,SBrkr,0,1,1,Fa,4,Typ,No,Unavailable,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2008,WD,Normal,5,1040.0,1.0,136
30,31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649.0,GasA,TA,N,SBrkr,0,3,1,TA,6,Typ,No,Unavailable,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,No,Unavailable,MnPrv,Unavailable,0,7,2008,WD,Normal,2,1966.0,1.0,226
31,32,20,RL,72.0,8544,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228.0,GasA,Gd,Y,SBrkr,0,3,1,Gd,6,Typ,No,Unavailable,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,6,2008,WD,Normal,3,2456.0,2.0,65
32,33,20,RL,85.0,11049,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,No,Unavailable,Attchd,2007.0,RFn,2.0,484.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,1,2008,WD,Normal,4,2468.0,2.0,30
33,34,20,RL,70.0,10552,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0.0,380.0,GasA,Gd,Y,SBrkr,0,4,1,Gd,6,Typ,Yes,Gd,Attchd,1959.0,RFn,2.0,447.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,4,2010,WD,Normal,5,3098.0,3.0,38
34,35,120,RL,60.0,7313,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0.0,408.0,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,Yes,Gd,Attchd,2005.0,Fin,2.0,556.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,8,2007,WD,Normal,5,3122.0,3.0,250
35,36,60,RL,108.0,13418,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1117.0,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,Yes,Gd,BuiltIn,2004.0,Fin,3.0,691.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,9,2006,WD,Normal,5,3569.0,4.0,145
36,37,20,RL,112.0,10859,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1097.0,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,No,Unavailable,Attchd,1995.0,Unf,2.0,672.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,6,2009,WD,Normal,4,2194.0,2.0,456
37,38,20,RL,74.0,8532,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213.0,Unf,0.0,84.0,GasA,Gd,Y,SBrkr,0,3,1,TA,5,Typ,Yes,TA,Attchd,1954.0,Fin,2.0,498.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,10,2009,WD,Normal,5,2594.0,2.0,0
38,39,20,RL,68.0,7922,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,No,Unavailable,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,1,2010,WD,Abnorml,5,2114.0,2.0,52
39,40,90,RL,65.0,6040,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,Unavailable,Unavailable,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,GasA,TA,N,FuseP,0,2,2,Fa,6,Typ,No,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,Unavailable,Unavailable,N,No,Unavailable,Unavailable,Unavailable,0,6,2008,WD,AdjLand,2,1152.0,2.0,0
40,41,20,RL,84.0,8658,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643.0,Unf,0.0,445.0,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,Yes,TA,Attchd,1965.0,RFn,2.0,440.0,TA,TA,Y,No,Unavailable,GdWo,Unavailable,0,12,2006,WD,Abnorml,5,2412.0,2.0,138
41,42,20,RL,115.0,16905,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967.0,Unf,0.0,383.0,GasA,Gd,Y,SBrkr,0,2,1,TA,5,Typ,Yes,Gd,Attchd,1959.0,RFn,1.0,308.0,TA,TA,P,No,Unavailable,Unavailable,Unavailable,0,7,2007,WD,Normal,5,2678.0,3.0,104
42,43,85,RL,67.0,9180,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747.0,LwQ,93.0,0.0,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,No,Unavailable,Attchd,1983.0,RFn,2.0,504.0,TA,Gd,Y,No,Unavailable,MnPrv,Unavailable,0,12,2007,WD,Normal,3,1724.0,2.0,240
43,44,20,RL,70.0,9200,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280.0,BLQ,491.0,167.0,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,No,Unavailable,Detchd,1977.0,Unf,1.0,308.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,7,2008,WD,Normal,4,1876.0,2.0,145
44,45,20,RL,70.0,7945,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179.0,BLQ,506.0,465.0,GasA,Ex,Y,FuseA,0,3,1,TA,6,Typ,No,Unavailable,Attchd,1959.0,RFn,1.0,300.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2006,WD,Normal,5,2300.0,2.0,0
45,46,120,RL,61.0,7658,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0.0,1296.0,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,Yes,Gd,Attchd,2005.0,RFn,2.0,576.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,2,2010,WD,Normal,5,3504.0,3.0,278
46,47,50,RL,48.0,12822,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351.0,Unf,0.0,83.0,GasA,Ex,Y,SBrkr,0,1,1,Gd,6,Typ,Yes,Ex,Attchd,2003.0,RFn,2.0,670.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,8,2009,WD,Abnorml,3,3583.0,3.0,409
47,48,20,FV,84.0,11096,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1632.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,No,Unavailable,Attchd,2006.0,RFn,3.0,826.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,7,2007,WD,Normal,4,3312.0,2.0,146
